0.9,13.21
0.91,13.4
0.92,13.58
0.93,13.77
0.94,13.95
0.95,14.13
0.96,14.31
0.97,14.49
0.98,14.67
0.99,14.85
1.0,15.03
1.01,15.2
1.02,15.38
1.03,15.55
1.04,15.73
1.05,15.9
1.06,16.07
1.07,16.24
1.08,16.41
1.09,16.58
1.1,16.75
1.11,16.91
1.12,17.08
1.13,17.24
1.14,17.4
1.15,17.57
1.16,17.73
1.17,17.89
1.18,18.05
1.19,18.21
1.2,18.36
1.21,18.52
1.22,18.68
1.23,18.83
1.24,18.98
1.25,19.14
1.26,19.29
1.27,19.44
1.28,19.59
1.29,19.74
1.3,19.89
1.31,20.04
1.32,20.18
1.33,20.33
1.34,20.47
1.35,20.62
1.36,20.76
1.37,20.9
1.38,21.04
1.39,21.18
1.4,21.32
1.41,21.46
1.42,21.6
1.43,21.73
1.44,21.87
1.45,22.0
1.46,22.14
1.47,22.27
1.48,22.4
1.49,22.54
1.5,22.67
1.51,22.8
1.52,22.93
1.53,23.05
1.54,23.18
1.55,23.31
1.56,23.43
1.57,23.56
1.58,23.68
1.59,23.81
1.6,23.93
1.61,24.05
1.62,24.17
1.63,24.3
1.64,24.42
1.65,24.53
1.66,24.65
1.67,24.77
1.68,24.89
1.69,25.0
1.7,25.12
1.71,25.23
1.72,25.35
1.73,25.46
1.74,25.57
1.75,25.69
1.76,25.8
1.77,25.91
1.78,26.02
1.79,26.13
1.8,26.23
1.81,26.34
1.82,26.45
1.83,26.56
1.84,26.66
1.85,26.77
1.86,26.87
1.87,26.97
1.88,27.08
1.89,27.18
1.9,27.28
1.91,27.38
1.92,27.48
1.93,27.58
1.94,27.68
1.95,27.78
1.96,27.88
1.97,27.98
1.98,28.07
1.99,28.17
2.0,28.27
2.01,28.36
2.02,28.46
2.03,28.55
2.04,28.64
2.05,28.74
2.06,28.83
2.07,28.92
2.08,29.01
2.09,29.1
2.1,29.19
2.11,29.28
2.12,29.37
2.13,29.46
2.14,29.54
2.15,29.63
2.16,29.72
2.17,29.8
2.18,29.89
2.19,29.97
2.2,30.06
2.21,30.14
2.22,30.23
2.23,30.31
2.24,30.39
2.25,30.47
2.26,30.56
2.27,30.64
2.28,30.72
2.29,30.8
2.3,30.88
2.31,30.96
2.32,31.03
2.33,31.11
2.34,31.19
2.35,31.27
2.36,31.34
2.37,31.42
2.38,31.5
2.39,31.57
2.4,31.65
2.41,31.72
2.42,31.79
2.43,31.87
2.44,31.94
2.45,32.01
2.46,32.08
2.47,32.16
2.48,32.23
2.49,32.3
2.5,32.37
2.51,32.44
2.52,32.51
2.53,32.58
2.54,32.65
2.55,32.72
2.56,32.78
2.57,32.85
2.58,32.92
2.59,32.98
2.6,33.05
2.61,33.12
2.62,33.18
2.63,33.25
2.64,33.31
2.65,33.38
2.66,33.44
2.67,33.5
2.68,33.57
2.69,33.63
2.7,33.69
2.71,33.76
2.72,33.82
2.73,33.88
2.74,33.94
2.75,34.0
2.76,34.06
2.77,34.12
2.78,34.18
2.79,34.24
2.8,34.3
2.81,34.36
2.82,34.42
2.83,34.47
2.84,34.53
2.85,34.59
2.86,34.65
2.87,34.7
2.88,34.76
2.89,34.82
2.9,34.87
2.91,34.93
2.92,34.98
2.93,35.04
2.94,35.09
2.95,35.14
2.96,35.2
2.97,35.25
2.98,35.31
2.99,35.36
3.0,35.41
3.01,35.46
3.02,35.52
3.03,35.57
3.04,35.62
3.05,35.67
3.06,35.72
3.07,35.77
3.08,35.82
3.09,35.87
3.1,35.92
3.11,35.97
3.12,36.02
3.13,36.07
3.14,36.12
3.15,36.16
3.16,36.21
3.17,36.26
3.18,36.31
3.19,36.36
3.2,36.4
3.21,36.45
3.22,36.5
3.23,36.54
3.24,36.59
3.25,36.63
3.26,36.68
3.27,36.72
3.28,36.77
3.29,36.81
3.3,36.86
3.31,36.9
3.32,36.95
3.33,36.99
3.34,37.03
3.35,37.08
3.36,37.12
3.37,37.16
3.38,37.21
3.39,37.25
3.4,37.29
3.41,37.33
3.42,37.37
3.43,37.41
3.44,37.46
3.45,37.5
3.46,37.54
3.47,37.58
3.48,37.62
3.49,37.66
3.5,37.7
3.51,37.74
3.52,37.78
3.53,37.82
3.54,37.85
3.55,37.89
3.56,37.93
3.57,37.97
3.58,38.01
3.59,38.05
3.6,38.08
3.61,38.12
3.62,38.16
3.63,38.2
3.64,38.23
3.65,38.27
3.66,38.31
3.67,38.34
3.68,38.38
3.69,38.42
3.7,38.45
3.71,38.49
3.72,38.52
3.73,38.56
3.74,38.59
3.75,38.63
3.76,38.66
3.77,38.7
3.78,38.73
3.79,38.76
3.8,38.8
3.81,38.83
3.82,38.87
3.83,38.9
3.84,38.93
3.85,38.97
3.86,39.0
3.87,39.03
3.88,39.06
3.89,39.1
3.9,39.13
3.91,39.16
3.92,39.19
3.93,39.22
3.94,39.25
3.95,39.29
3.96,39.32
3.97,39.35
3.98,39.38
3.99,39.41
4.0,39.44
4.01,39.47
4.02,39.5
4.03,39.53
4.04,39.56
4.05,39.59
4.06,39.62
4.07,39.65
4.08,39.68
4.09,39.71
4.1,39.74
4.11,39.77
4.12,39.79
4.13,39.82
4.14,39.85
4.15,39.88
4.16,39.91
4.17,39.94
4.18,39.96
4.19,39.99
4.2,40.02
4.21,40.05
4.22,40.07
4.23,40.1
4.24,40.13
4.25,40.15
4.26,40.18
4.27,40.21
4.28,40.23
4.29,40.26
4.3,40.29
4.31,40.31
4.32,40.34
4.33,40.36
4.34,40.39
4.35,40.42
4.36,40.44
4.37,40.47
4.38,40.49
4.39,40.52
